AAA,37,,NA,NA,NA,NA
AAD,D5 0A,,NA,NA,NA,NA
AAD imm8,D5 ib,,NA,NA,NA,NA
AAM,D4 0A,,NA,NA,NA,NA
AAM imm8,D4 ib,,NA,NA,NA,NA
AAS,3F,,NA,NA,NA,NA
"ADC AL, imm8",14 ib,,AL/AX/EAX/RAX,imm8,NA,NA
"ADC AX, imm16",15 iw,,AL/AX/EAX/RAX,imm8,NA,NA
"ADC EAX, imm32",15 id,,AL/AX/EAX/RAX,imm8,NA,NA
"ADC RAX, imm32",REX.W + 15 id,,AL/AX/EAX/RAX,imm8,NA,NA
"ADC r/m8, imm8",80 /2 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m8 , imm8",REX + 80 /2 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m16, imm16",81 /2 iw,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m32, imm32",81 /2 id,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m64, imm32",REX.W + 81 /2 id,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m16, imm8",83 /2 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m32, imm8",83 /2 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m64, imm8",REX.W + 83 /2 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADC r/m8, r8",10 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADC r/m8 , r8",REX + 10 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADC r/m16, r16",11 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADC r/m32, r32",11 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADC r/m64, r64",REX.W + 11 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADC r8, r/m8",12 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADC r8 , r/m8",REX + 12 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADC r16, r/m16",13 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADC r32, r/m32",13 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADC r64, r/m64",REX.W + 13 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADCX r32, r/m32",66 0F 38 F6 /r,ADX,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADCX r64, r/m64",66 REX.w 0F 38 F6 /r,ADX,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADD AL, imm8",04 ib,,AL/AX/EAX/RAX,imm8,NA,NA
"ADD AX, imm16",05 iw,,AL/AX/EAX/RAX,imm8,NA,NA
"ADD EAX, imm32",05 id,,AL/AX/EAX/RAX,imm8,NA,NA
"ADD RAX, imm32",REX.W + 05 id,,AL/AX/EAX/RAX,imm8,NA,NA
"ADD r/m8, imm8",80 /0 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m8 , imm8",REX + 80 /0 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m16, imm16",81 /0 iw,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m32, imm32",81 /0 id,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m64, imm32",REX.W + 81 /0 id,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m16, imm8",83 /0 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m32, imm8",83 /0 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m64, imm8",REX.W + 83 /0 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"ADD r/m8, r8",00 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADD r/m8 , r8",REX + 00 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADD r/m16, r16",01 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADD r/m32, r32",01 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADD r/m64, r64",REX.W + 01 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"ADD r8, r/m8",02 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADD r8 , r/m8",REX + 02 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADD r16, r/m16",03 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADD r32, r/m32",03 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADD r64, r/m64",REX.W + 03 /r,,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADDPD xmm1, xmm2/m128",66 0F 58 /r,SSE2,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VADDPD xmm1,xmm2, xmm3/m128",VEX.NDS.128.66.0F.WIG 58 /r,AVX,ModRM:reg (w),VEX.vvvv,ModRM:r/m (r),NA
"VADDPD ymm1, ymm2, ymm3/m256",VEX.NDS.256.66.0F.WIG 58 /r,AVX,ModRM:reg (w),VEX.vvvv,ModRM:r/m (r),NA
"VADDPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",EVEX.NDS.128.66.0F.W1 58 /r,AVX512VL AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"VADDPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",EVEX.NDS.256.66.0F.W1 58 /r,AVX512VL AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"VADDPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst{er}",EVEX.NDS.512.66.0F.W1 58 /r,AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"ADDPS xmm1, xmm2/m128",NP 0F 58 /r,SSE,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VADDPS xmm1,xmm2, xmm3/m128",VEX.NDS.128.0F.WIG 58 /r,AVX,ModRM:reg (w),VEX.vvvv,ModRM:r/m (r),NA
"VADDPS ymm1, ymm2, ymm3/m256",VEX.NDS.256.0F.WIG 58 /r,AVX,ModRM:reg (w),VEX.vvvv,ModRM:r/m (r),NA
"VADDPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",EVEX.NDS.128.0F.W0 58 /r,AVX512VL AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"VADDPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",EVEX.NDS.256.0F.W0 58 /r,AVX512VL AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"VADDPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst {er}",EVEX.NDS.512.0F.W0 58 /r,AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"ADDSD xmm1, xmm2/m64",F2 0F 58 /r,SSE2,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VADDSD xmm1, xmm2, xmm3/m64",VEX.NDS.LIG.F2.0F.WIG 58 /r,AVX,ModRM:reg (w),VEX.vvvv,ModRM:r/m (r),NA
"VADDSD xmm1 {k1}{z}, xmm2, xmm3/m64{er}",EVEX.NDS.LIG.F2.0F.W1 58 /r,AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"ADDSS xmm1, xmm2/m32",F3 0F 58 /r,SSE,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VADDSS xmm1,xmm2, xmm3/m32",VEX.NDS.LIG.F3.0F.WIG 58 /r,AVX,ModRM:reg (w),VEX.vvvv,ModRM:r/m (r),NA
"VADDSS xmm1{k1}{z}, xmm2, xmm3/m32{er}",EVEX.NDS.LIG.F3.0F.W0 58 /r,AVX512F,ModRM:reg (w),EVEX.vvvv,ModRM:r/m (r),NA
"ADDSUBPD xmm1, xmm2/m128",66 0F D0 /r,SSE3,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VADDSUBPD xmm1, xmm2, xmm3/m128",VEX.NDS.128.66.0F.WIG D0 /r,AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"VADDSUBPD ymm1, ymm2, ymm3/m256",VEX.NDS.256.66.0F.WIG D0 /r,AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"ADDSUBPS xmm1, xmm2/m128",F2 0F D0 /r,SSE3,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VADDSUBPS xmm1, xmm2, xmm3/m128",VEX.NDS.128.F2.0F.WIG D0 /r,AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"VADDSUBPS ymm1, ymm2, ymm3/m256",VEX.NDS.256.F2.0F.WIG D0 /r,AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"ADOX r32, r/m32",F3 0F 38 F6 /r,ADX,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"ADOX r64, r/m64",F3 REX.w 0F 38 F6 /r,ADX,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"AESDEC xmm1, xmm2/m128",66 0F 38 DE /r,AES,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VAESDEC xmm1, xmm2, xmm3/m128",VEX.NDS.128.66.0F38.WIG DE /r,AES AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"AESDECLAST xmm1, xmm2/m128",66 0F 38 DF /r,AES,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VAESDECLAST xmm1, xmm2, xmm3/m128",VEX.NDS.128.66.0F38.WIG DF /r,AES AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"AESENC xmm1, xmm2/m128",66 0F 38 DC /r,AES,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VAESENC xmm1, xmm2, xmm3/m128",VEX.NDS.128.66.0F38.WIG DC /r,AES AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"AESENCLAST xmm1, xmm2/m128",66 0F 38 DD /r,AES,"ModRM:reg (r, w)",ModRM:r/m (r),NA,NA
"VAESENCLAST xmm1, xmm2, xmm3/m128",VEX.NDS.128.66.0F38.WIG DD /r,AES AVX,ModRM:reg (w),VEX.vvvv (r),ModRM:r/m (r),NA
"AESIMC xmm1, xmm2/m128",66 0F 38 DB /r,AES,ModRM:reg (w),ModRM:r/m (r),NA,NA
"VAESIMC xmm1, xmm2/m128",VEX.128.66.0F38.WIG DB /r,AES AVX,ModRM:reg (w),ModRM:r/m (r),NA,NA
"AESKEYGENASSIST xmm1, xmm2/m128, imm8",66 0F 3A DF /r ib,AES,ModRM:reg (w),ModRM:r/m (r),imm8,NA
"VAESKEYGENASSIST xmm1, xmm2/m128, imm8",VEX.128.66.0F3A.WIG DF /r ib,AES AVX,ModRM:reg (w),ModRM:r/m (r),imm8,NA
"AND AL, imm8",24 ib,,AL/AX/EAX/RAX,imm8,NA,NA
"AND AX, imm16",25 iw,,AL/AX/EAX/RAX,imm8,NA,NA
"AND EAX, imm32",25 id,,AL/AX/EAX/RAX,imm8,NA,NA
"AND RAX, imm32",REX.W + 25 id,,AL/AX/EAX/RAX,imm8,NA,NA
"AND r/m8, imm8",80 /4 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m8 , imm8",REX + 80 /4 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m16, imm16",81 /4 iw,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m32, imm32",81 /4 id,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m64, imm32",REX.W + 81 /4 id,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m16, imm8",83 /4 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m32, imm8",83 /4 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m64, imm8",REX.W + 83 /4 ib,,"ModRM:r/m (r, w)",imm8,NA,NA
"AND r/m8, r8",20 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"AND r/m8 , r8",REX + 20 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
"AND r/m16, r16",21 /r,,"ModRM:r/m (r, w)",ModRM:reg (r),NA,NA
